_id,time,time_Code,gps_On,gps_Latitude,gps_Longitude,gps_Speed,gps_Accuracy,gps_Altitude,gps_Bearing,gps_Last_Update_Time,network_On,network_Latitude,network_Longitude,network_Speed,network_Accuracy,network_Altitude,network_Bearing,network_Last_Update_Time,accellerometor_Raw_X,accellerometor_Raw_Y,accellerometor_Raw_Z,accellerometor_X_Gs,accellerometor_Y_Gs,accellerometor_Z_Gs,orrientation_Raw_X,orrientation_Raw_Y,orrientation_Raw_Z
52,2011/10/18 13:46:48,1318963608944,1,40.0716436514631,-88.2497694343329,7.38090038299561,10.0,205.400024414063,9.0,1318963624000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.803600490093231,1.6480621099472,9.90199279785156,0.0820000500095134,0.168169603055837,1.0104074283522,80.171875,170.59375,4.5625
53,2011/10/18 13:46:49,1318963609948,1,40.071691093035,-88.2497545145452,5.69204998016357,5.0,205.5,12.0,1318963625000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.354129046201706,2.15201497077942,10.0245761871338,0.0361356169593577,0.219593364365247,1.02291593746263,123.0,167.875,1.984375
54,2011/10/18 13:46:50,1318963610948,1,40.0717245368287,-88.2497386727482,3.75300002098083,10.0,205.700012207031,20.0,1318963626000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.14982382953167,-0.245166257023811,10.7192134857178,0.0152881458705785,0.0250169650024297,1.093797294461,192.75,-178.6875,0.8125
55,2011/10/18 13:46:51,1318963611948,1,40.0717446114868,-88.2497193943709,3.06494998931885,10.0,206.0,34.0,1318963627000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,2.07029294967651,-0.681017398834229,9.94285392761231,0.211254382620052,0.0694915713096152,1.01457693138901,272.234375,-176.171875,11.75
56,2011/10/18 13:46:52,1318963612949,1,40.0717602856457,-88.249690476805,4.0032000541687,10.0,206.0,49.0,1318963628000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.708258092403412,-0.926183640956879,11.1823053359985,0.0722712339187155,0.0945085347915182,1.14105156489781,218.953125,-175.265625,3.609375
57,2011/10/18 13:46:53,1318963613949,1,40.0717788515613,-88.2496470585465,5.06655025482178,5.0,205.799987792969,57.0,1318963629000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,1.41651618480682,-0.667397022247314,10.4740476608276,0.144542467837431,0.0681017369640117,1.06878037355384,297.765625,-176.390625,7.6875
58,2011/10/18 13:46:54,1318963614952,1,40.0717866467312,-88.249579416588,6.3801007270813,10.0,205.700012207031,76.0,1318963630000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,1.18497025966644,-0.286027312278748,10.7192134857178,0.120915332619025,0.0291864604366069,1.093797294461,302.84375,-178.484375,6.3125
59,2011/10/18 13:46:55,1318963615957,1,40.0717773847282,-88.2494836114347,7.06814956665039,10.0,204.799987792969,82.0,1318963631000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.245166257023811,0.667397022247314,9.95647430419922,0.0250169650024297,0.0681017369640117,1.01596676573461,336.265625,176.171875,1.40625
60,2011/10/18 13:46:56,1318963616952,1,40.0717725651339,-88.2493916619569,7.44344997406006,10.0,204.400024414062,85.0,1318963632000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.953424334526062,0.640156328678131,10.0245761871338,0.0972881974006186,0.0653220743549113,1.02291593746263,307.703125,176.359375,5.4375
61,2011/10/18 13:46:57,1318963617956,1,40.0717679131776,-88.2493041548878,7.06814956665039,10.0,204.0,88.0,1318963633000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.0272406954318285,0.476712167263031,10.2288808822632,0.00277966279916617,0.0486440987003093,1.04376335533298,342.75,177.34375,0.140625
62,2011/10/18 13:46:58,1318963618955,1,40.0717648118734,-88.2492256164551,6.44264984130859,5.0,203.900024414063,89.0,1318963634000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.476712167263031,0.749119102954865,9.90199279785156,0.0486440987003093,0.0764407247913127,1.0104074283522,314.5,175.6875,2.734375
63,2011/10/18 13:46:59,1318963619958,1,40.071762255393,-88.2491545379162,5.56695032119751,5.0,203.900024414063,89.0,1318963635000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.394990086555481,1.21221089363098,10.0245761871338,0.0403051108730083,0.123694989146019,1.02291593746263,355.96875,173.109375,-2.234375
64,2011/10/18 13:47:00,1318963620960,1,40.0717586092651,-88.2490956969559,4.6286997795105,5.0,203.799987792969,90.0,1318963636000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.572054624557495,1.11686849594116,10.0518169403076,0.0583729208732138,0.113966173055221,1.02569560615384,353.65625,173.671875,-3.25
65,2011/10/18 13:47:01,1318963621959,1,40.0717534124851,-88.249050937593,3.56535005569458,5.0,203.900024414063,91.0,1318963637000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.0953424349427223,0.830841183662415,10.1335382461548,0.00972881989211452,0.0847797126186137,1.03403451491375,319.578125,175.328125,0.53125
